room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
16756161,1289,290607,Shared room,,Washington,,Capitol Hill,0,0.0,1,1.0,,40.0,,2017-05-11 09:38:39.102931,38.898648,-76.988655,0101000020E6100000B8019F1F463F53C0D34ECDE506734340
15674549,1289,101227181,Shared room,,Washington,,Anacostia,6,2.5,4,1.0,,21.0,,2017-05-11 09:38:39.100306,38.882271,-76.93715,0101000020E6100000925CFE43FA3B53C0C89A9141EE704340
17588084,1289,26389480,Shared room,,Washington,,Columbia Heights,2,0.0,1,1.0,,37.0,,2017-05-11 09:38:39.098213,38.926895,-77.030517,0101000020E6100000363E93FDF34153C0B8E9CF7EA4764340
11337494,1289,51009383,Shared room,,Washington,,Shaw,16,4.5,4,1.0,,40.0,,2017-05-11 09:38:39.095492,38.908471,-77.023392,0101000020E61000003CBF28417F4153C0A52E19C748744340
17695736,1289,26389480,Shared room,,Washington,,Columbia Heights,2,0.0,1,1.0,,37.0,,2017-05-11 09:38:37.384458,38.926827,-77.029993,0101000020E6100000F986C267EB4153C060066344A2764340
11342736,1289,37920286,Shared room,,Washington,,Shaw,19,3.5,8,1.0,,18.0,,2017-05-11 09:38:37.382046,38.912437,-77.022817,0101000020E6100000BE326FD5754153C0865451BCCA744340
18671463,1289,26180779,Shared room,,Washington,,Shaw,0,0.0,1,1.0,,40.0,,2017-05-11 09:38:37.377147,38.909532,-77.023423,0101000020E610000059BE2EC37F4153C02E55698B6B744340
17619774,1289,26389480,Shared room,,Washington,,Columbia Heights,2,0.0,1,1.0,,40.0,,2017-05-11 09:38:37.374022,38.92837,-77.028384,0101000020E6100000B3EE1F0BD14153C0344B02D4D4764340
9936262,1289,27353,Shared room,,Washington,,Anacostia,33,4.0,1,1.0,,19.0,,2017-05-11 09:38:37.366890,38.875246,-76.96366,0101000020E6100000A81DFE9AAC3D53C037FA980F08704340
15941800,1289,27353,Shared room,,Washington,,Anacostia,2,0.0,4,1.0,,15.0,,2017-05-11 09:38:37.363316,38.875189,-76.964224,0101000020E61000002C8194D8B53D53C0D368723106704340
12422935,1289,61362641,Shared room,,Washington,,Brentwood,27,5.0,2,1.0,,39.0,,2017-05-11 09:38:37.360577,38.910565,-77.002952,0101000020E61000004CDD955D304053C0EDF0D7648D744340
12252686,1289,61362641,Shared room,,Washington,,Brentwood,38,5.0,4,1.0,,39.0,,2017-05-11 09:38:37.356097,38.910547,-77.002232,0101000020E61000004DC0AF91244053C0473CD9CD8C744340
9298297,1289,27353,Shared room,,Washington,,Anacostia,28,4.0,1,1.0,,15.0,,2017-05-11 09:38:37.351001,38.875492,-76.962302,0101000020E610000006B8205B963D53C06FF4311F10704340
15910839,1289,102506161,Shared room,,Washington,,Anacostia,3,3.5,1,1.0,,12.0,,2017-05-11 09:38:37.346540,38.886162,-76.941731,0101000020E610000048A81952453C53C09E7AA4C16D714340
15832677,1289,102506161,Shared room,,Washington,,Anacostia,3,3.0,1,1.0,,13.0,,2017-05-11 09:38:35.624908,38.885674,-76.936203,0101000020E6100000B2DAFCBFEA3B53C0717500C45D714340
12744068,1289,61362641,Shared room,,Washington,,Brentwood,29,5.0,4,1.0,,39.0,,2017-05-11 09:38:35.622813,38.910859,-77.002098,0101000020E6100000C558A65F224053C03622180797744340
14554544,1289,315148,Shared room,,Washington,,Ledroit Park,12,4.5,1,1.0,,25.0,,2017-05-11 09:38:35.620649,38.915657,-77.010611,0101000020E6100000957EC2D9AD4053C03FADA23F34754340
17131099,1289,26389480,Shared room,,Washington,,Columbia Heights,1,0.0,1,1.0,,37.0,,2017-05-11 09:38:35.618586,38.927213,-77.030103,0101000020E6100000BC202235ED4153C089B663EAAE764340
11887439,1289,37920286,Shared room,,Washington,,Shaw,48,4.0,1,1.0,,18.0,,2017-05-11 09:38:35.609018,38.912064,-77.022515,0101000020E6100000D82AC1E2704153C0F2ED5D83BE744340
18547685,1289,26180779,Shared room,,Washington,,Shaw,1,0.0,2,1.0,,39.0,,2017-05-11 09:38:35.606712,38.910593,-77.023461,0101000020E6100000D0EE9062804153C0B77BB94F8E744340
17419427,1289,26389480,Shared room,,Washington,,Columbia Heights,6,5.0,1,1.0,,37.0,,2017-05-11 09:38:35.596603,38.927049,-77.030126,0101000020E610000098309A95ED4153C00E65A88AA9764340
11338519,1289,37920286,Shared room,,Washington,,Shaw,31,4.0,8,1.0,,21.0,,2017-05-11 09:38:35.591097,38.912784,-77.022653,0101000020E6100000018A9125734153C0F2272A1BD6744340
16798447,1289,315148,Shared room,,Washington,,Ledroit Park,6,4.5,1,1.0,,20.0,,2017-05-11 09:38:35.588496,38.918123,-77.013911,0101000020E61000007F83F6EAE34053C04B5AF10D85754340
16789250,1289,315148,Shared room,,Washington,,Ledroit Park,9,4.5,1,1.0,,23.0,,2017-05-11 09:38:34.342335,38.917675,-77.013976,0101000020E610000073BB97FBE44053C0ACADD85F76754340
9291840,1289,27353,Shared room,,Washington,,Anacostia,45,4.5,4,1.0,,15.0,,2017-05-11 09:38:34.339903,38.874873,-76.962567,0101000020E61000005E4D9EB29A3D53C0A393A5D6FB6F4340
13657698,1289,66801226,Shared room,,Washington,,Mount Pleasant,0,0.0,2,1.0,,25.0,,2017-05-11 09:38:34.337288,38.933188,-77.03793,0101000020E61000006362F3716D4253C0848252B472774340
18540749,1289,26180779,Shared room,,Washington,,Shaw,0,0.0,2,1.0,,40.0,,2017-05-11 09:38:34.331676,38.910321,-77.023089,0101000020E61000006EF9484A7A4153C057EE056685744340
17172606,1289,26389480,Shared room,,Washington,,Columbia Heights,7,4.5,1,1.0,,37.0,,2017-05-11 09:38:34.328848,38.926329,-77.028387,0101000020E61000006B28B517D14153C00F2BDCF291764340
15989860,1289,87919088,Shared room,,Washington,,Foggy Bottom,2,0.0,1,1.0,,35.0,,2017-05-11 09:38:34.315859,38.89681,-77.046109,0101000020E610000048C32973F34253C0E65C8AABCA724340
16931380,1289,61362641,Shared room,,Washington,,Shaw,4,5.0,4,1.0,,39.0,,2017-05-11 09:38:34.310393,38.908985,-77.006368,0101000020E61000006BEF5355684053C0FCC6D79E59744340
16110341,1289,105036498,Shared room,,Washington,,Glover Park,0,0.0,1,1.0,,25.0,,2017-05-11 09:38:34.308261,38.924075,-77.076725,0101000020E61000004772F90FE94453C08E06F01648764340
14655328,1289,5318956,Shared room,,Washington,,Columbia Heights,33,5.0,1,1.0,,21.0,,2017-05-11 09:38:34.306080,38.931422,-77.031677,0101000020E610000044C2F7FE064253C030630AD638774340
581620,1289,2863595,Shared room,,Washington,,Ledroit Park,13,4.5,1,1.0,,23.0,,2017-05-11 09:38:34.303584,38.917745,-77.01571,0101000020E6100000170E8464014153C0A4880CAB78754340
16988854,1289,99826729,Shared room,,Washington,,Capitol Hill,7,5.0,1,1.0,,25.0,,2017-05-11 09:38:34.299917,38.903054,-76.997773,0101000020E61000003CF54883DB3F53C0D042024697734340
6886298,1289,16946106,Shared room,,Washington,,Stadium-Armory,1,0.0,1,1.0,,30.0,,2017-05-11 09:38:33.044334,38.902036,-76.980558,0101000020E610000032755776C13E53C047E867EA75734340
18477817,1289,129329,Shared room,,Washington,,Foggy Bottom,0,0.0,1,1.0,,25.0,,2017-05-11 09:38:33.037905,38.892197,-77.040228,0101000020E61000008B187618934253C06F4BE48233724340
16647712,1289,100564475,Shared room,,Washington,,Deanwood,0,0.0,1,1.0,,33.0,,2017-05-11 09:38:33.035933,38.910397,-76.932678,0101000020E6100000B7EC10FFB03B53C032B08EE387744340
7514236,1289,37920286,Shared room,,Washington,,Shaw,76,4.0,6,1.0,,18.0,,2017-05-11 09:38:33.027545,38.911918,-77.021905,0101000020E61000009CA73AE4664153C01E51A1BAB9744340
7896911,1289,12895831,Shared room,,Washington,,Dupont Circle,1,0.0,2,1.0,,25.0,,2017-05-11 09:38:33.014696,38.916321,-77.041691,0101000020E61000006762BA10AB4253C0ABD1AB014A754340
17072434,1289,14845422,Shared room,,Washington,,Logan Circle,13,4.0,2,1.0,,30.0,,2017-05-11 09:38:33.011962,38.911658,-77.034625,0101000020E6100000F0A7C64B374253C082919735B1744340
18328986,1289,124325632,Shared room,,Washington,,Au-Tenleytown,0,0.0,1,1.0,,25.0,,2017-05-11 09:38:31.239562,38.93673,-77.082931,0101000020E6100000C634D3BD4E4553C04E97C5C4E6774340
3020248,1289,6897889,Shared room,,Washington,,Foggy Bottom,182,4.5,1,1.0,,38.0,,2017-05-11 09:38:31.235110,38.900609,-77.050884,0101000020E6100000F0F8F6AE414353C0DCBDDC2747734340
18500362,1289,100597661,Shared room,,Washington,,Foggy Bottom,0,0.0,1,1.0,,25.0,,2017-05-11 09:38:31.230234,38.896812,-77.052206,0101000020E6100000EBA9D557574353C0865451BCCA724340
8447945,1289,27353,Shared room,,Washington,,Anacostia,23,4.5,1,1.0,,20.0,,2017-05-11 09:38:31.227707,38.87598,-76.96206,0101000020E61000008B321B64923D53C09CF9D51C20704340
17589398,1289,26389480,Shared room,,Washington,,Columbia Heights,8,5.0,1,1.0,,37.0,,2017-05-11 09:38:31.222213,38.92685,-77.02872,0101000020E61000006F2F698CD64153C018265305A3764340
16928346,1289,5318956,Shared room,,Washington,,Columbia Heights,29,4.5,1,1.0,,15.0,,2017-05-11 09:38:31.219407,38.929856,-77.031584,0101000020E6100000EBC4E578054253C0A4FE7A8505774340
